station,line,day,report-start-time,report-end-time,description,offense,victim-sex,victim-age,offender-sex,offender-age,offender-detained
LA RAZA,3,WEDNESDAY_,09:14,16:12,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,22,MAN,41,
IZTACALCO,8,THURSDAY,09:14,20:32,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,26,MAN,41,
CENTRO MÉDICO,9,THURSDAY,17:00,04:40,TOUCHING OF GROIN AND PUBIC AREA,SEXUAL ASSAULT,WOMAN,22,MAN,29,
BALDERAS,3,FRIDAY,15:10,00:07,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,26,MAN,26,
ROMERO RUBIO,B,MONDAY,13:05,19:30,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,29,MAN,23,
ZÓCALO,2,MONDAY,16:08,16:25,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,25,MAN,52,
ZÓCALO,2,MONDAY,16:08,16:25,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,49,MAN,52,
COPILCO,3,MONDAY,19:49,01:10,TOUCHING OF BREASTS AND BUTTOCKS,SEXUAL ASSAULT,WOMAN,19,MAN,51,
LAGUNILLA,B,WEDNESDAY_,09:00,18:40,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,34,MAN,22,
BALDERAS,3,WEDNESDAY_,09:04,14:55,FRICTION OF PENIS Y MASTURBATION,SEXUAL ASSAULT,WOMAN,26,MAN,38,
ISABEL LA CATÓLICA,1,WEDNESDAY_,09:34,17:00,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,33,MAN,31,
HIDALGO,2,WEDNESDAY_,15:03,23:35,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,39,MAN,31,
TACUBA,2,THURSDAY,15:28,21:00,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,34,MAN,52,
BELLAS ARTES,2,FRIDAY,18:45,00:10,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,20,MAN,32,
TACUBAYA,9,FRIDAY,14:30,15:15,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,19,MAN,21,
TACUBAYA,1,MONDAY,08:41,14:27,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,27,MAN,28,
LA RAZA,3,MONDAY,13:15,21:17,TOUCHING OF BREAST AND PUBIC AREA,SEXUAL ASSAULT,WOMAN,46,MAN,17,
HIDALGO,2,MONDAY,16:14,17:10,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,23,MAN,16,
INDIOS VERDES,3,TUESDAY,10:25,10:53,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,29,MAN ,33,
ZARAGOZA,1,WEDNESDAY_,10:38,15:55,MASTURBATION,SEXUAL ASSAULT,WOMAN,19,MAN,47,
CHAPULTEPEC,1,WEDNESDAY_,19:58,01:33,FRICTION OF PENIS Y TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,20,MAN,32,
CHABACANO,9,FRIDAY,08:58,16:15,MASTURBATION AND EJACULATION,SEXUAL ASSAULT,WOMAN,44,MAN,36,
HIDALGO,3,FRIDAY,19:45,03:45,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,20,MAN,34,
PINO SUÁREZ,2,WEDNESDAY_,17:38,19:54,VEXATION (VERBAL AGRESSION),VEXATION,WOMAN,20,MAN,24,
ZÓCALO,2,THURSDAY,19:45,23:28,DOMESTIC VIOLENCE (VERBAL AND PHYSICAL),DOMESTIC VIOLENCE,WOMAN,50,MAN,53,
COLEGIO MILITAR,2,FRIDAY,09:41,10:25,VIDEO RECORDING,SEXUAL HARASSMENT,WOMAN,24,MAN,44,
PANTITLÁN,9,FRIDAY,10:40,15:30,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,20,MAN,35,
PANTITLÁN,9,FRIDAY,16:45,18:10,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,47,MAN,24,
VILLA DE CORTES,2,FRIDAY,17:45,02:15,FRICTION OF PENIS ON BUTTOCKS,SEXUAL ASSAULT,WOMAN,43,MAN,57,
VILLA DE CORTES,2,FRIDAY,17:45,02:15,FRICTION OF PENIS ON BUTTOCKS,SEXUAL ASSAULT,WOMAN,47,MAN,57,
COLEGIO MILITAR,2,MONDAY,17:00,19:55,PURSUIT WITH POSSIBLE SEXUAL INTENT,SEXUAL HARASSMENT,WOMAN,45,MAN,38,
ZÓCALO,2,TUESDAY,08:40,10:10,SEXUAL FAVORS,SEXUAL HARASSMENT,WOMAN,32,MAN,73,
ZAPATA,3,TUESDAY,10:05,15:45,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,44,MAN,37,
SALTO DEL AGUA,1,WEDNESDAY_,10:00,18:25,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,27,MAN,29,
SALTO DEL AGUA,1,THURSDAY,08:55,18:00,FRICTION OF PENIS ON BUTTOCKS ,SEXUAL ASSAULT,WOMAN,22,MAN,33,
HIDALGO,2,THURSDAY,10:10,21:40,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,22,MAN,31,
FLORES MAGÓN,B,THURSDAY,20:10,08:10,FRICTION OF PENIS,SEXUAL ASSAULT,WOMAN,24,MAN,20,
CHABACANO,2,FRIDAY,18:07,19:45,PURSUIT WITH POSSIBLE SEXUAL INTENT,SEXUAL HARASSMENT,WOMAN,26,MAN,32,
NATIVITAS,2,MONDAY,08:28,09:37,GENITAL EXHIBITIONISM,SEXUAL HARASSMENT,WOMAN,15,MAN,38,
BALDERAS,3,TUESDAY,09:37,09:50,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,29,MAN,18,
HIDALGO,3,TUESDAY,09:40,10:45,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,29,MAN,38,
CHABACANO,8,TUESDAY,09:55,16:32,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,23,MAN ,50,
INDIOS VERDES,3,TUESDAY,10:40,17:52,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,20,MAN ,28,
GUERRERO,3,THURSDAY,18:15,00:03,DOMESTIC VIOLENCE (PHYSICAL),DOMESTIC VIOLENCE,WOMAN,23,MAN,20,
ZOCALO,2,MONDAY,16:36,21:15,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,45,MAN,42,
TLATELOLCO,3,TUESDAY,08:35,15:20,TOUCHING OF PUBIC AREA,SEXUAL ASSAULT,WOMAN,26,MAN,38,
TACUBAYA,1,THURSDAY,15:20,08:40,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,36,MAN,22,
HIDALGO,3,FRIDAY,09:00,13:42,VEXATION (PHYSYCAL AGGRESSION),VEXATION,WOMAN,36,MAN,20,
LA RAZA,5,MONDAY,09:50,10:32,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,19,MAN,63,
LAZARO CARDÉNAS,9,MONDAY,10:15,16:10,TOUCHING OF BUTTOCKS,SEXUAL ASSAULT,WOMAN,33,MAN,23,
HIDALGO,2,TUESDAY,09:30,16:25,DOMESTIC VIOLENCE (VERBAL AND PHYSICAL) ,DOMESTIC VIOLENCE,WOMAN,20,MAN,21,NO ARREST
